iter	Logloss
166	0.6103715228
167	0.6100419559
168	0.6097073621
169	0.6092937747
170	0.6086600798
171	0.6083068869
172	0.6077269469
173	0.6074554764
174	0.6071645534
175	0.6068872505
176	0.6065183259
177	0.6061916218
178	0.6058990344
179	0.6053922042
180	0.6050834884
181	0.6047859386
182	0.6043301558
183	0.6039008194
184	0.603537656
185	0.6031089926
186	0.6027806201
187	0.6024107675
188	0.6019932431
189	0.6016792463
190	0.6012360313
191	0.6009775663
192	0.6004931076
193	0.6001917123
194	0.5995811082
195	0.5993573525
196	0.5990011535
197	0.5983832988
198	0.5980078849
199	0.597704059
200	0.5972245907
201	0.5969955021
202	0.5966352128
203	0.5959442575
204	0.595512228
205	0.5953407445
206	0.59503121
207	0.5948185413
208	0.594495864
209	0.5940915425
210	0.5938375861
211	0.5933290907
212	0.5928588072
213	0.592569618
214	0.5920616695
215	0.5916270281
216	0.5913683587
217	0.5910578366
218	0.5906507221
219	0.590302369
220	0.5900007243
221	0.5894138379
222	0.5888938258
223	0.5885157612
224	0.5880474755
225	0.5873363904
226	0.5869820661
227	0.5867341505
228	0.5862799641
229	0.5857449636
230	0.5853730248
231	0.5851358959
232	0.5848227887
233	0.5844623253
234	0.5838785579
235	0.5833673006
236	0.5829719017
237	0.5825435998
238	0.5821180192
239	0.5817277307
240	0.581251256
241	0.5809556752
242	0.5803258554
243	0.5799793013
244	0.5794571152
245	0.5791416567
246	0.5789720555
247	0.5784934736
248	0.5781689874
249	0.5777450223
250	0.577424222
251	0.5770132455
252	0.5763468946
253	0.5759237109
254	0.5755235796
255	0.5750775566
256	0.5748631269
257	0.5745090933
258	0.5742901624
259	0.5739991281
260	0.5737333483
261	0.5734525654
262	0.5728477508
263	0.5725234208
264	0.5722260973
265	0.5718707688
266	0.5713579459
267	0.5710478296
268	0.5706962153
269	0.5702185335
270	0.5698956931
271	0.5694954094
272	0.5691987021
273	0.5688331136
274	0.5684948822
275	0.568159133
276	0.5678467893
277	0.5674262036
278	0.5671276745
279	0.5665752918
280	0.5660874757
281	0.565899625
282	0.5655617259
283	0.5650086237
284	0.5647173141
285	0.564503033
286	0.5641535678
287	0.5639105652
288	0.5636749562
289	0.563274395
290	0.5629992009
291	0.5626150567
292	0.5623083876
293	0.5619795864
294	0.5616862092
295	0.5613688481
296	0.5609456008
297	0.5606832384
298	0.5602532121
299	0.5598591534
300	0.5595333312
301	0.5592205847
302	0.559098452
303	0.5588253594
304	0.5586194072
305	0.5582428907
306	0.5579185469
307	0.5575294313
308	0.5571969327
309	0.5567828053
310	0.5564724609
311	0.555988564
312	0.5555708738
313	0.5552526679
314	0.5549537907
315	0.5547979077
316	0.5545029442
317	0.5542310979
318	0.5536307404
319	0.5532888626
320	0.5528101534
321	0.5525929205
322	0.5522587416
323	0.5515570229
324	0.5514360409
325	0.5510373453
326	0.5507710628
327	0.5502145295
328	0.549994307
329	0.5497903279
330	0.5495190394
331	0.5490718672
332	0.5487279327
333	0.5483334401
334	0.5479579745
335	0.5471817813
336	0.5469750521
337	0.5466589799
338	0.5463561719
339	0.5460350711
340	0.5457164483
341	0.5455744628
342	0.545358461
343	0.5451712915
344	0.5449147596
345	0.5445796763
346	0.5441385443
347	0.5437866469
348	0.5435687724
349	0.5432110715
350	0.54298831
351	0.5425681156
352	0.5423543953
353	0.5421005896
354	0.5417821887
355	0.5415768431
356	0.5413990118
357	0.5410780381
358	0.5406067476
359	0.5402588996
360	0.5398886004
361	0.5395018303
362	0.5392226389
363	0.5387893471
364	0.5385472516
365	0.5380604714
366	0.5377384958
367	0.5373844776
368	0.5369696848
369	0.5367076014
370	0.5364155695
371	0.5360415595
372	0.5357765057
373	0.5355313173
374	0.5352076426
375	0.5348736624
376	0.5345935606
377	0.5344317064
378	0.5341673471
379	0.5339510935
380	0.533525542
381	0.5332904095
382	0.5330790207
383	0.5329341704
384	0.5325893546
385	0.5323282356
386	0.5321229476
387	0.5317094625
388	0.531413023
389	0.5310748909
390	0.5307941699
391	0.530586061
392	0.5302811177
393	0.5300300951
394	0.5298075057
395	0.5294897705
396	0.5291513131
397	0.5287108546
398	0.5284563243
399	0.5282174082
400	0.5279856879
401	0.5277091271
402	0.5273745055
403	0.5271282564
404	0.5266955063
405	0.5264240987
406	0.5259767718
407	0.5255267416
408	0.5250355573
409	0.524656962
410	0.5242373425
411	0.5240009018
412	0.5237127816
413	0.5234491524
414	0.5230002136
415	0.522715111
416	0.5224269245
417	0.5220378501
418	0.5217551523
419	0.5214703395
420	0.5212328795
421	0.5209547814
422	0.5206396524
423	0.5204175774
424	0.520107017
425	0.5196350753
426	0.5193168843
427	0.5190882282
428	0.518858317
429	0.5184133818
430	0.5182260671
431	0.5178888097
432	0.5175535981
433	0.5173206526
434	0.5170355461
435	0.5167603024
436	0.5163748451
437	0.5160622657
438	0.5158216874
439	0.5154759796
440	0.5151364887
441	0.5148421768
442	0.51456601
443	0.5141295884
444	0.5138871685
445	0.5137989051
446	0.513448679
447	0.5130940407
448	0.5126375802
449	0.5123060162
450	0.5119992522
451	0.5116308576
452	0.5113516932
453	0.5110001758
454	0.5107773844
455	0.5104858574
456	0.5102952012
457	0.5100423721
458	0.5096452376
459	0.5093467506
460	0.5088468933
461	0.5084400465
462	0.508317317
463	0.5081409963
464	0.5078378323
465	0.5074323396
466	0.5072078034
467	0.5067808897
468	0.5066236444
469	0.5061572895
470	0.5058885725
471	0.5055845222
472	0.5050929384
473	0.5047705727
474	0.5045768154
475	0.5042799468
476	0.5039173121
477	0.5036229541
478	0.503470103
479	0.5031479816
480	0.502798667
481	0.5024530553
482	0.5019816963
483	0.5017299182
484	0.5012922372
485	0.5010374217
486	0.5007512711
487	0.5004863043
488	0.5003139471
489	0.4999787422
490	0.4997283943
491	0.4994576392
492	0.4991120928
493	0.4985912415
494	0.4982469688
495	0.4977833373
496	0.4976477628
497	0.4973370853
498	0.4969507364
499	0.4965612763
500	0.4962614326
501	0.495927739
502	0.4956122513
503	0.4953498517
504	0.4952435783
505	0.4950693709
506	0.4948719889
507	0.4946718838
508	0.4945166576
509	0.4941633987
510	0.4938225379
511	0.4933180997
512	0.4930609457
513	0.4928390826
514	0.4926726131
515	0.4924572171
516	0.4923657109
517	0.4919830781
518	0.49173419
519	0.4913581499
520	0.4910644336
521	0.4907279185
522	0.4903670871
523	0.4901089806
524	0.4897598809
525	0.4896128864
526	0.489365091
527	0.4889089559
528	0.4887055882
529	0.4884763668
530	0.4882406841
531	0.4878066056
532	0.4875888476
533	0.4870841722
534	0.4867646655
535	0.4865009869
536	0.4863533758
537	0.4860553132
538	0.4856000311
539	0.4852973536
540	0.4850175095
541	0.4847509539
542	0.4844713592
543	0.4841304624
544	0.4837756249
545	0.4834874623
546	0.4831387553
547	0.4829099526
548	0.4827094074
549	0.4824790606
550	0.4820078386
551	0.4817475569
552	0.4814207123
553	0.4811695887
554	0.4808575511
555	0.4805294917
556	0.4803854063
557	0.4801556229
558	0.4799998344
559	0.4797091271
560	0.4795765047
561	0.4793007849
562	0.4789471103
563	0.4785535812
564	0.4783339087
565	0.4782172816
566	0.4780177586
567	0.4778331688
568	0.4776436827
569	0.4773669331
570	0.4772029812
571	0.4768598619
572	0.4766718257
573	0.4765054737
574	0.4761786095
575	0.4759524722
576	0.4757786365
577	0.475517603
578	0.475093352
579	0.4749038607
580	0.4746436931
581	0.4743839243
582	0.4740987118
583	0.4737501313
584	0.4735382939
585	0.47323976
586	0.4729730838
587	0.4727359446
588	0.4725026072
589	0.4720326641
590	0.4717817582
591	0.4713967182
592	0.4711535002
593	0.4708471333
594	0.4705680329
595	0.4703031112
596	0.4701067133
597	0.4696206795
598	0.4694259712
599	0.4690852601
600	0.4687271356
601	0.4683516035
602	0.468116867
603	0.4679939672
604	0.467570721
605	0.467493703
606	0.4671696935
607	0.4669967604
608	0.4666844592
609	0.4663729082
610	0.4661392404
611	0.4659403424
612	0.4656173914
613	0.4652162073
614	0.4649544445
615	0.4646588369
616	0.4643871492
617	0.46417435
618	0.4639081238
619	0.4637475328
620	0.4635245101
621	0.4633072758
622	0.4629449122
623	0.4626623642
624	0.4624878783
625	0.4621509535
626	0.4618445605
627	0.4616425191
628	0.4613514634
629	0.4610299008
630	0.4607921059
631	0.460546691
632	0.4604328797
633	0.4600189606
634	0.4597376267
635	0.4593838616
636	0.459101493
637	0.4586983907
638	0.458546221
639	0.4581329891
640	0.4578124569
641	0.4574592772
642	0.4571730829
643	0.4569006322
644	0.456841414
645	0.4564864756
646	0.4562948531
647	0.45600901
648	0.4558004352
649	0.4555308479
650	0.4549309166
651	0.4547005988
652	0.4544866436
653	0.4542898655
654	0.454119352
655	0.4538732741
656	0.4535156373
657	0.4530168378
658	0.4528723472
659	0.4526511988
660	0.4522083458
661	0.4518426441
662	0.4517505023
663	0.4515352645
664	0.4513062379
665	0.4510297186
666	0.4507880562
667	0.4504188005
668	0.4501202034
669	0.4497545194
670	0.4493539362
671	0.4490683368
672	0.4488822386
673	0.4486527279
674	0.4482913265
675	0.4481038463
676	0.4479050978
677	0.4476140122
678	0.447343009
679	0.4472246984
680	0.4469528214
681	0.4467292203
682	0.4463425876
683	0.4460429778
684	0.4458353662
685	0.4455532214
686	0.4453682132
687	0.4450079571
688	0.4446603906
689	0.4444631514
690	0.4442509133
691	0.4439400908
692	0.4437487727
693	0.4435985033
694	0.4433769426
695	0.443169935
696	0.4428725181
697	0.4426991931
698	0.4422834654
699	0.4420312465
700	0.4417113719
701	0.4413060045
702	0.4410262001
703	0.4407949906
704	0.4405017451
705	0.4401573393
706	0.4399307954
707	0.4396507823
708	0.4393033515
709	0.4391101348
710	0.438649527
711	0.4382824945
712	0.4380923258
713	0.4377781055
714	0.4376440625
715	0.4372513425
716	0.4369750827
717	0.4367069293
718	0.4364765
719	0.4360957605
720	0.4357773976
721	0.4355974004
722	0.435448167
723	0.4352789831
724	0.4350074346
725	0.4345498919
726	0.434371177
727	0.4342011734
728	0.4339372123
729	0.4334542843
730	0.433198027
731	0.4328825128
732	0.4325828753
733	0.4323314977
734	0.4320048176
735	0.4317511213
736	0.4315847624
737	0.4313938188
738	0.4312495556
739	0.4310573542
740	0.4308188665
741	0.4303901603
742	0.4300524209
743	0.4297687
744	0.4295533475
745	0.4292872616
746	0.4290765929
747	0.4288336943
748	0.4284710926
749	0.4279971518
750	0.4277579876
751	0.4276023104
752	0.4273007608
753	0.4269523915
754	0.4267931755
755	0.4264956935
756	0.4263483256
757	0.4262075176
758	0.4258306487
759	0.4257461788
760	0.4255415126
761	0.4253355769
762	0.4249746749
763	0.4247788692
764	0.4244025459
765	0.4241668216
766	0.4237351409
767	0.423479677
768	0.4232350541
769	0.4230307838
770	0.4227539994
771	0.4224531397
772	0.4219669037
773	0.4217127704
774	0.4214158918
775	0.4212261493
776	0.4209054018
777	0.4206387385
778	0.4203471879
779	0.4202204802
780	0.4200079463
781	0.4197935461
782	0.4195347203
783	0.4193085737
784	0.4190212331
785	0.4188106052
786	0.4185761146
787	0.4183673665
788	0.4181027079
789	0.4179360923
790	0.4175779887
791	0.4173043592
792	0.4168926931
793	0.4166564822
794	0.4164594322
795	0.4162382455
796	0.4159206421
797	0.4153819454
798	0.415145833
799	0.4148858311
800	0.414405571
801	0.4142813604
802	0.4140437887
803	0.4138611806
804	0.4132845005
805	0.4129083809
806	0.4124552376
807	0.412196248
808	0.4120105307
809	0.4117059554
810	0.4113977999
811	0.4111961325
812	0.4108750352
813	0.4104700393
814	0.4102145499
815	0.4098801001
816	0.4094479632
817	0.4093211656
818	0.4089711694
819	0.4086827021
820	0.4085245844
821	0.408384618
822	0.4079548364
823	0.4077381591
824	0.4074541327
825	0.4072012676
826	0.406969652
827	0.4066627427
828	0.4063286255
829	0.406047533
830	0.4057277403
831	0.4054811539
832	0.4051113946
833	0.4047718027
834	0.4045554524
835	0.4044703807
836	0.4042405138
837	0.4040715304
838	0.4038125167
839	0.4035674055
840	0.4033403216
841	0.4030423027
842	0.4027824718
843	0.4025370106
844	0.4022837459
845	0.4021713119
846	0.401939205
847	0.4016912848
848	0.4012773436
849	0.4008969519
850	0.4005261349
851	0.4003382658
852	0.4001641301
853	0.400055717
854	0.3998909025
855	0.399500594
856	0.3993249661
857	0.3989579859
858	0.3987722698
859	0.3986420094
860	0.3981750876
861	0.3979163293
862	0.3976702698
863	0.3975247545
864	0.3972234777
865	0.3970260027
866	0.3967261557
867	0.3964360446
868	0.3962511754
869	0.3961084407
870	0.3959148416
871	0.3956523737
872	0.3954737489
873	0.3952351575
874	0.3947923027
875	0.39456489
876	0.3942870787
877	0.3941040104
878	0.3936229429
879	0.3935497407
880	0.3932127659
881	0.3931339393
882	0.3929386015
883	0.392578707
884	0.3925080068
885	0.3923522692
886	0.392119184
887	0.391724441
888	0.391427734
889	0.3911765541
890	0.3908409597
891	0.3904950528
892	0.3903546902
893	0.3901192833
894	0.3898913347
895	0.3896122504
896	0.3892266562
897	0.3890002477
898	0.3888054034
899	0.3886347153
900	0.3885539709
901	0.3882483891
902	0.3880364942
903	0.3877482961
904	0.3875388634
905	0.3873825552
906	0.3870126227
907	0.386664813
908	0.3864407086
909	0.3860498223
910	0.3857957212
911	0.3855286713
912	0.3852863918
913	0.3849709136
914	0.3848411938
915	0.3846563464
916	0.384387728
917	0.383866364
918	0.383514939
919	0.3831263333
920	0.3827723914
921	0.3826745252
922	0.3823255071
923	0.3819726855
924	0.3817999774
925	0.3814656378
926	0.3811751091
927	0.3808664079
928	0.3804464725
929	0.3800973728
930	0.3799624656
931	0.3794447374
932	0.3791824135
933	0.3790003738
934	0.3787023742
935	0.3784885269
936	0.3782997719
937	0.3781217701
938	0.3777510805
939	0.3776173178
940	0.3774361429
941	0.3771231504
942	0.3768482339
943	0.3766108684
944	0.3761847739
945	0.3758657483
946	0.3756440341
947	0.3754899478
948	0.3752864499
949	0.3751110408
950	0.374736822
951	0.3746039767
952	0.3744615998
953	0.3742122854
954	0.3739040274
955	0.3737487039
956	0.3735315287
957	0.3733894391
958	0.3730063198
959	0.372837088
960	0.3724607348
961	0.3720920179
962	0.3718113755
963	0.3715732987
964	0.3713840989
965	0.3710663115
966	0.3706945211
967	0.3703606674
968	0.3701753534
969	0.3698217442
970	0.3696578585
971	0.3694679543
972	0.369211139
973	0.3690098896
974	0.3687746929
975	0.3684991289
976	0.3682544774
977	0.3681206699
978	0.3678899226
979	0.3676452473
980	0.3674793035
981	0.3672207442
982	0.366995349
983	0.3666902939
984	0.3662964246
985	0.3659933533
986	0.3656436276
987	0.3655649929
988	0.3654256275
989	0.3650952305
990	0.3648356602
991	0.3643454838
992	0.3641132969
993	0.3636835813
994	0.3633090703
995	0.362935819
996	0.3628270457
997	0.3625806522
998	0.3623449676
999	0.3620854969
